Feature Id	Aliases	Genome	Type	Function
CTHE_RS12430	CTHE_RS12430, Cthe_2384, WP_003513296.1	ATCC27405 (43218/3/1)	gene	S-layer homology domain-containing protein
CTHE_RS12435	CTHE_RS12435, Cthe_2385, WP_003513294.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS12440	CTHE_RS12440, Cthe_2386, WP_020457784.1	ATCC27405 (43218/3/1)	gene	vanomycin resistance protein VanB
CTHE_RS12445	3.4.19.11, CTHE_RS12445, Cthe_2387, WP_020457785.1	ATCC27405 (43218/3/1)	gene	LysM peptidoglycan-binding domain-containing protein
CTHE_RS12450	CTHE_RS12450, Cthe_2388, WP_003513286.1	ATCC27405 (43218/3/1)	gene	DUF2508 domain-containing protein
CTHE_RS12455	CTHE_RS12455, Cthe_2389, WP_003513284.1	ATCC27405 (43218/3/1)	gene	pro-sigmaK processing inhibitor BofA
CTHE_RS12460	CTHE_RS12460, Cthe_2390, WP_003513282.1	ATCC27405 (43218/3/1)	gene	pyruvate synthase
CTHE_RS12465	CTHE_RS12465, Cthe_2391, WP_003516455.1	ATCC27405 (43218/3/1)	gene	4Fe-4S dicluster domain-containing protein
CTHE_RS12470	1.2.7.1, CTHE_RS12470, Cthe_2392, WP_020457786.1, porA	ATCC27405 (43218/3/1)	gene	2-ketoisovalerate ferredoxin oxidoreductase subunit alpha
CTHE_RS01250	CTHE_RS01250, Cthe_0239, WP_003512367.1	ATCC27405 (43218/3/1)	gene	dockerin
CTHE_RS12475	CTHE_RS12475, Cthe_2393, WP_003513279.1	ATCC27405 (43218/3/1)	gene	thiamine pyrophosphate protein TPP-binding
CTHE_RS17275	CTHE_RS17275, WP_003513278.1	ATCC27405 (43218/3/1)	gene	cyclic lactone autoinducer peptide
CTHE_RS12480	CTHE_RS12480, Cthe_2394, WP_003513277.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS12485	CTHE_RS12485, Cthe_2395, WP_003513275.1	ATCC27405 (43218/3/1)	gene	XRE family transcriptional regulator
CTHE_RS12490	CTHE_RS12490, Cthe_2396, WP_003513273.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS12495	CTHE_RS12495, Cthe_2397, WP_020457788.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS12500	CTHE_RS12500, Cthe_2398, WP_003513270.1	ATCC27405 (43218/3/1)	gene	CotS family spore coat protein
CTHE_RS12505	CTHE_RS12505, Cthe_2399, WP_003516448.1	ATCC27405 (43218/3/1)	gene	formate--tetrahydrofolate ligase
CTHE_RS12510	CTHE_RS12510, Cthe_2400, WP_003519973.1, yabG	ATCC27405 (43218/3/1)	gene	sporulation peptidase YabG
CTHE_RS12515	CTHE_RS12515, Cthe_2401, WP_003513265.1	ATCC27405 (43218/3/1)	gene	DUF1021 domain-containing protein
CTHE_RS01255	CTHE_RS01255, Cthe_0240, WP_011837783.1	ATCC27405 (43218/3/1)	gene	VTC domain-containing protein
CTHE_RS12520	CTHE_RS12520, Cthe_2402, WP_003516443.1	ATCC27405 (43218/3/1)	gene	DUF3794 domain-containing protein
CTHE_RS12525	CTHE_RS12525, Cthe_2403, WP_003513261.1	ATCC27405 (43218/3/1)	gene	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
CTHE_RS12530	CTHE_RS12530, Cthe_2404, WP_003513259.1	ATCC27405 (43218/3/1)	gene	GntR family transcriptional regulator
CTHE_RS12535	CTHE_RS12535, Cthe_2405, WP_003513254.1	ATCC27405 (43218/3/1)	gene	heavy metal transporter
CTHE_RS12540	CTHE_RS12540, Cthe_2406, WP_003513253.1	ATCC27405 (43218/3/1)	gene	chemotaxis protein CheX
CTHE_RS12545	CTHE_RS12545, Cthe_2407, WP_003513252.1	ATCC27405 (43218/3/1)	gene	ATP-binding protein
CTHE_RS12550	CTHE_RS12550, Cthe_2408, WP_003513251.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS12555	CTHE_RS12555, Cthe_2409, WP_003513250.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS12560	CTHE_RS12560, Cthe_2410, WP_020457790.1	ATCC27405 (43218/3/1)	gene	DUF342 domain-containing protein
CTHE_RS12565	CTHE_RS12565, Cthe_2411, WP_003513248.1	ATCC27405 (43218/3/1)	gene	DNA repair exonuclease
CTHE_RS01260	CTHE_RS01260, Cthe_0241, WP_003512369.1	ATCC27405 (43218/3/1)	gene	DUF4956 domain-containing protein
CTHE_RS12570	CTHE_RS12570, Cthe_2412, WP_003513246.1	ATCC27405 (43218/3/1)	gene	chromosome segregation protein SMC
CTHE_RS12575	CTHE_RS12575, Cthe_2413, WP_003513243.1	ATCC27405 (43218/3/1)	gene	peptidase P60
CTHE_RS12585	CTHE_RS12585, Cthe_2415, WP_003513241.1, sleB	ATCC27405 (43218/3/1)	gene	spore cortex-lytic enzyme
CTHE_RS12590	CTHE_RS12590, Cthe_2416, WP_003513240.1, ypeB	ATCC27405 (43218/3/1)	gene	germination protein YpeB
CTHE_RS12595	CTHE_RS12595, Cthe_2417, WP_003513239.1	ATCC27405 (43218/3/1)	gene	CPBP family intramembrane metalloprotease domain-containing protein
CTHE_RS12600	CTHE_RS12600, Cthe_2418, WP_003513238.1	ATCC27405 (43218/3/1)	gene	DNA replication protein DnaC
CTHE_RS12615	CTHE_RS12615, Cthe_2420, WP_020457794.1	ATCC27405 (43218/3/1)	gene	HD domain-containing protein
CTHE_RS12620	CTHE_RS12620, Cthe_2421, WP_003513233.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS01265	CTHE_RS01265, Cthe_0242, WP_011837784.1	ATCC27405 (43218/3/1)	gene	DUF2156 domain-containing protein
CTHE_RS12625	CTHE_RS12625, Cthe_2422, WP_003513231.1	ATCC27405 (43218/3/1)	gene	DUF5050 domain-containing protein
CTHE_RS12630	CTHE_RS12630, Cthe_2423, WP_020457795.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS12635	CTHE_RS12635, Cthe_2424, WP_003516419.1	ATCC27405 (43218/3/1)	gene	copper amine oxidase
CTHE_RS12640	CTHE_RS12640, Cthe_2425, WP_003513222.1	ATCC27405 (43218/3/1)	gene	motility protein A
CTHE_RS12645	CTHE_RS12645, Cthe_2426, WP_003513221.1	ATCC27405 (43218/3/1)	gene	membrane protein
CTHE_RS12650	CTHE_RS12650, Cthe_2427, WP_003513220.1	ATCC27405 (43218/3/1)	gene	DUF1385 domain-containing protein
CTHE_RS12655	CTHE_RS12655, Cthe_2428, WP_003513219.1, prmC	ATCC27405 (43218/3/1)	gene	peptide chain release factor N(5)-glutamine methyltransferase
CTHE_RS12660	CTHE_RS12660, Cthe_2429, WP_003513218.1, ytvI	ATCC27405 (43218/3/1)	gene	sporulation integral membrane protein YtvI
CTHE_RS12665	CTHE_RS12665, Cthe_2430, WP_003519966.1	ATCC27405 (43218/3/1)	gene	electron transport complex subunit RsxC
CTHE_RS12670	CTHE_RS12670, Cthe_2431, WP_020457796.1	ATCC27405 (43218/3/1)	gene	NADH:ubiquinone oxidoreductase
CTHE_RS01270	CTHE_RS01270, Cthe_0243, WP_003512371.1	ATCC27405 (43218/3/1)	gene	copper amine oxidase
CTHE_RS12675	CTHE_RS12675, Cthe_2432, WP_003513207.1	ATCC27405 (43218/3/1)	gene	FMN-binding protein
CTHE_RS12680	CTHE_RS12680, Cthe_2433, WP_003516416.1	ATCC27405 (43218/3/1)	gene	electron transport complex subunit RsxE
CTHE_RS12685	CTHE_RS12685, Cthe_2434, WP_003513205.1	ATCC27405 (43218/3/1)	gene	electron transport complex subunit RsxA
CTHE_RS12690	CTHE_RS12690, Cthe_2435, WP_003513203.1	ATCC27405 (43218/3/1)	gene	4Fe-4S dicluster domain-containing protein
CTHE_RS12695	CTHE_RS12695, Cthe_2436, WP_003513202.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS12700	CTHE_RS12700, Cthe_2437, WP_003513200.1	ATCC27405 (43218/3/1)	gene	shikimate kinase
CTHE_RS12705	CTHE_RS12705, Cthe_2439, WP_003513195.1	ATCC27405 (43218/3/1)	gene	N-acetyltransferase
CTHE_RS12710	CTHE_RS12710, Cthe_2440, WP_003513193.1	ATCC27405 (43218/3/1)	gene	DUF4275 domain-containing protein
CTHE_RS12715	CTHE_RS12715, Cthe_2441, WP_003513190.1	ATCC27405 (43218/3/1)	gene	DeoR/GlpR transcriptional regulator
CTHE_RS12720	CTHE_RS12720, Cthe_2442, WP_003516413.1	ATCC27405 (43218/3/1)	gene	glycerol kinase GlpK
CTHE_RS00125	CTHE_RS00125, WP_041734212.1	ATCC27405 (43218/3/1)	gene	aminobenzoate synthetase
CTHE_RS01275	CTHE_RS01275, Cthe_0244, WP_003512372.1, cadA	ATCC27405 (43218/3/1)	gene	cadmium-translocating P-type ATPase
CTHE_RS12725	CTHE_RS12725, Cthe_2443, WP_003513187.1	ATCC27405 (43218/3/1)	gene	transketolase
CTHE_RS12730	CTHE_RS12730, Cthe_2444, WP_003513185.1	ATCC27405 (43218/3/1)	gene	transketolase
CTHE_RS12735	CTHE_RS12735, Cthe_2445, WP_003513182.1	ATCC27405 (43218/3/1)	gene	NAD(P)-dependent alcohol dehydrogenase
CTHE_RS12740	CTHE_RS12740, Cthe_2446, WP_003516411.1	ATCC27405 (43218/3/1)	gene	sugar ABC transporter substrate-binding protein
CTHE_RS12745	CTHE_RS12745, Cthe_2447, WP_003513178.1	ATCC27405 (43218/3/1)	gene	sugar ABC transporter ATP-binding protein
CTHE_RS12750	CTHE_RS12750, Cthe_2448, WP_003513175.1	ATCC27405 (43218/3/1)	gene	ABC transporter permease
CTHE_RS12755	CTHE_RS12755, Cthe_2449, WP_020457798.1	ATCC27405 (43218/3/1)	gene	histidine phosphatase family protein
CTHE_RS12760	CTHE_RS12760, WP_037294357.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS12765	CTHE_RS12765, Cthe_2451, WP_020457799.1	ATCC27405 (43218/3/1)	gene	helicase
CTHE_RS12770	CTHE_RS12770, Cthe_2452, WP_003513166.1, pepF	ATCC27405 (43218/3/1)	gene	oligoendopeptidase F
CTHE_RS01280	CTHE_RS01280, Cthe_0245, WP_003512374.1	ATCC27405 (43218/3/1)	gene	transcriptional regulator
CTHE_RS12775	CTHE_RS12775, Cthe_2453, WP_003513164.1	ATCC27405 (43218/3/1)	gene	nucleotide pyrophosphohydrolase
CTHE_RS12780	CTHE_RS12780, Cthe_2454, WP_003513162.1	ATCC27405 (43218/3/1)	gene	ferrous iron transporter A
CTHE_RS01285	CTHE_RS01285, Cthe_0246, WP_011837785.1	ATCC27405 (43218/3/1)	gene	carbohydrate-binding protein
CTHE_RS01290	CTHE_RS01290, Cthe_0247, WP_003519014.1	ATCC27405 (43218/3/1)	gene	DNA mismatch repair protein MutS
CTHE_RS01295	CTHE_RS01295, Cthe_0248, WP_003512006.1	ATCC27405 (43218/3/1)	gene	IS982 family transposase ISCth1
CTHE_RS01300	CTHE_RS01300, Cthe_0249, WP_003518160.1	ATCC27405 (43218/3/1)	gene	peptidase C11
CTHE_RS01305	CTHE_RS01305, Cthe_0250, WP_003512380.1	ATCC27405 (43218/3/1)	gene	RNA-splicing ligase RtcB
CTHE_RS13065	CTHE_RS13065, Cthe_2502, WP_003513159.1	ATCC27405 (43218/3/1)	gene	nucleoside deaminase
CTHE_RS13075	CTHE_RS13075, Cthe_3403, WP_003513157.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13080	CTHE_RS13080, Cthe_2503, WP_003513155.1	ATCC27405 (43218/3/1)	gene	cupin domain-containing protein
CTHE_RS01310	CTHE_RS01310, Cthe_0251, WP_003512382.1	ATCC27405 (43218/3/1)	gene	transglutaminase domain-containing protein
CTHE_RS13085	CTHE_RS13085, Cthe_2504, WP_003513153.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13090	CTHE_RS13090, Cthe_2505, WP_020457845.1	ATCC27405 (43218/3/1)	gene	LacI family DNA-binding transcriptional regulator
CTHE_RS17285	CTHE_RS17285, Cthe_2506, WP_020457846.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13100	CTHE_RS13100, Cthe_2507, WP_003513147.1	ATCC27405 (43218/3/1)	gene	peptidase U57
CTHE_RS13110	CTHE_RS13110, Cthe_2510, WP_003518362.1	ATCC27405 (43218/3/1)	gene	DUF368 domain-containing protein
CTHE_RS13115	CTHE_RS13115, Cthe_2511, WP_003513141.1	ATCC27405 (43218/3/1)	gene	mechanosensitive ion channel family protein
CTHE_RS13120	CTHE_RS13120, Cthe_2512, WP_003513139.1	ATCC27405 (43218/3/1)	gene	DUF951 domain-containing protein
CTHE_RS13125	CTHE_RS13125, Cthe_2513, WP_020457847.1	ATCC27405 (43218/3/1)	gene	PDZ domain-containing protein
CTHE_RS13130	CTHE_RS13130, Cthe_2514, WP_003513135.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS01315	CTHE_RS01315, Cthe_0252, WP_003512384.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13135	CTHE_RS13135, Cthe_2515, WP_003513133.1	ATCC27405 (43218/3/1)	gene	nucleoside deaminase
CTHE_RS13140	CTHE_RS13140, Cthe_2516, WP_003513132.1, ilvB	ATCC27405 (43218/3/1)	gene	acetolactate synthase, large subunit, biosynthetic type
CTHE_RS13145	CTHE_RS13145, Cthe_2517, WP_003513130.1	ATCC27405 (43218/3/1)	gene	acetolactate synthase small subunit
CTHE_RS13150	CTHE_RS13150, Cthe_2518, WP_003513128.1	ATCC27405 (43218/3/1)	gene	ketol-acid reductoisomerase
CTHE_RS13155	CTHE_RS13155, Cthe_2519, WP_003513126.1	ATCC27405 (43218/3/1)	gene	citramalate synthase
CTHE_RS13160	CTHE_RS13160, Cthe_2520, WP_003513124.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13165	CTHE_RS13165, Cthe_2521, WP_020457849.1, sigI	ATCC27405 (43218/3/1)	gene	RNA polymerase sigma factor SigI
CTHE_RS13170	CTHE_RS13170, Cthe_2522, WP_020457850.1	ATCC27405 (43218/3/1)	gene	membrane protein
CTHE_RS13175	CTHE_RS13175, Cthe_2523, WP_003513117.1	ATCC27405 (43218/3/1)	gene	DUF2721 domain-containing protein
CTHE_RS13180	CTHE_RS13180, Cthe_2524, WP_003518360.1	ATCC27405 (43218/3/1)	gene	Rrf2 family transcriptional regulator
CTHE_RS01320	CTHE_RS01320, Cthe_0253, WP_003512386.1	ATCC27405 (43218/3/1)	gene	MoxR family ATPase
CTHE_RS13185	CTHE_RS13185, Cthe_2525, WP_003513114.1, hemA	ATCC27405 (43218/3/1)	gene	glutamyl-tRNA reductase
CTHE_RS13190	CTHE_RS13190, Cthe_2526, WP_003518359.1	ATCC27405 (43218/3/1)	gene	bifunctional precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase
CTHE_RS13195	CTHE_RS13195, Cthe_2527, WP_003513110.1	ATCC27405 (43218/3/1)	gene	hydroxymethylbilane synthase
CTHE_RS13200	CTHE_RS13200, Cthe_2528, WP_003513108.1, cobA	ATCC27405 (43218/3/1)	gene	uroporphyrinogen-III C-methyltransferase
CTHE_RS13205	CTHE_RS13205, Cthe_2529, WP_003513106.1	ATCC27405 (43218/3/1)	gene	porphobilinogen synthase
CTHE_RS13210	CTHE_RS13210, Cthe_2530, WP_003513104.1, hemL	ATCC27405 (43218/3/1)	gene	glutamate-1-semialdehyde 2,1-aminomutase
CTHE_RS13215	CTHE_RS13215, Cthe_2531, WP_003513101.1	ATCC27405 (43218/3/1)	gene	sulfate ABC transporter substrate-binding protein
CTHE_RS13220	CTHE_RS13220, Cthe_2532, WP_020457852.1, cysT	ATCC27405 (43218/3/1)	gene	sulfate ABC transporter permease subunit CysT
CTHE_RS13225	CTHE_RS13225, Cthe_2533, WP_003518358.1, cysW	ATCC27405 (43218/3/1)	gene	sulfate ABC transporter permease subunit CysW
CTHE_RS13230	CTHE_RS13230, Cthe_2534, WP_003513098.1	ATCC27405 (43218/3/1)	gene	sulfate ABC transporter ATP-binding protein
CTHE_RS00130	CTHE_RS00130, WP_080514900.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS01325	CTHE_RS01325, Cthe_0254, WP_003512387.1	ATCC27405 (43218/3/1)	gene	DUF58 domain-containing protein
CTHE_RS13235	1.8.4.8, CTHE_RS13235, Cthe_2535, WP_020457853.1	ATCC27405 (43218/3/1)	gene	phosphoadenylyl-sulfate reductase
CTHE_RS13240	CTHE_RS13240, Cthe_2536, WP_003513095.1	ATCC27405 (43218/3/1)	gene	sulfate adenylyltransferase subunit 2
CTHE_RS13245	CTHE_RS13245, Cthe_2537, WP_003518357.1	ATCC27405 (43218/3/1)	gene	adenylyl-sulfate kinase
CTHE_RS13250	CTHE_RS13250, Cthe_2538, WP_003513091.1, thiS	ATCC27405 (43218/3/1)	gene	thiamine biosynthesis protein ThiS
CTHE_RS13255	CTHE_RS13255, Cthe_2539, WP_003513089.1	ATCC27405 (43218/3/1)	gene	molybdopterin-synthase adenylyltransferase MoeB
CTHE_RS13260	CTHE_RS13260, Cthe_2540, WP_003513087.1	ATCC27405 (43218/3/1)	gene	Mov34/MPN/PAD-1 family protein
CTHE_RS13265	CTHE_RS13265, Cthe_2541, WP_003513085.1	ATCC27405 (43218/3/1)	gene	4Fe-4S dicluster domain-containing protein
CTHE_RS13270	CTHE_RS13270, Cthe_2542, WP_003513083.1	ATCC27405 (43218/3/1)	gene	sulfurtransferase TusA family protein
CTHE_RS13275	CTHE_RS13275, Cthe_2543, WP_003518355.1	ATCC27405 (43218/3/1)	gene	sporulation protein
CTHE_RS13280	CTHE_RS13280, Cthe_2544, WP_003513078.1	ATCC27405 (43218/3/1)	gene	RNA polymerase sigma factor
CTHE_RS01330	CTHE_RS01330, WP_003512389.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13285	CTHE_RS13285, WP_003521048.1	ATCC27405 (43218/3/1)	gene	ATP-binding protein
CTHE_RS17295	CTHE_RS17295, WP_080514924.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13290	CTHE_RS13290, WP_080514925.1	ATCC27405 (43218/3/1)	gene	response regulator
CTHE_RS13295	CTHE_RS13295, Cthe_3404, WP_003513076.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13300	CTHE_RS13300, Cthe_2547, WP_003513074.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13305	CTHE_RS13305, Cthe_2548, WP_003513072.1	ATCC27405 (43218/3/1)	gene	Intracellular exo-alpha-(1->5)-L-arabinofuranosidase
CTHE_RS13310	CTHE_RS13310, Cthe_2549, WP_003518346.1	ATCC27405 (43218/3/1)	gene	dockerin
CTHE_RS13315	CTHE_RS13315, Cthe_2550, WP_003521052.1	ATCC27405 (43218/3/1)	gene	glycosyl transferase
CTHE_RS13320	CTHE_RS13320, Cthe_2551, WP_003518341.1	ATCC27405 (43218/3/1)	gene	radical SAM protein
CTHE_RS01335	CTHE_RS01335, Cthe_0256, WP_003518163.1	ATCC27405 (43218/3/1)	gene	histidine kinase
CTHE_RS13325	CTHE_RS13325, Cthe_2552, WP_020457856.1	ATCC27405 (43218/3/1)	gene	radical SAM/SPASM domain-containing protein
CTHE_RS13330	CTHE_RS13330, Cthe_2553, WP_020457857.1	ATCC27405 (43218/3/1)	gene	radical SAM protein
CTHE_RS13335	CTHE_RS13335, Cthe_2554, WP_020457858.1	ATCC27405 (43218/3/1)	gene	glycosyltransferase family 1 protein
CTHE_RS13340	CTHE_RS13340, Cthe_2555, WP_003518337.1	ATCC27405 (43218/3/1)	gene	FkbM family methyltransferase
CTHE_RS13345	CTHE_RS13345, Cthe_2556, WP_003513047.1	ATCC27405 (43218/3/1)	gene	radical SAM protein
CTHE_RS13350	CTHE_RS13350, Cthe_2557, WP_003513046.1	ATCC27405 (43218/3/1)	gene	glycosyl transferase
CTHE_RS13355	CTHE_RS13355, Cthe_2558, WP_003513028.1	ATCC27405 (43218/3/1)	gene	NAD-dependent dehydratase
CTHE_RS13360	CTHE_RS13360, Cthe_2559, WP_020457859.1	ATCC27405 (43218/3/1)	gene	dTDP-4-amino-4,6-dideoxygalactose transaminase
CTHE_RS13365	5.1.3.13, CTHE_RS13365, Cthe_2560, WP_020457860.1, rfbC	ATCC27405 (43218/3/1)	gene	dTDP-4-dehydrorhamnose 3,5-epimerase
CTHE_RS13370	CTHE_RS13370, Cthe_2561, WP_020457861.1, rfbG	ATCC27405 (43218/3/1)	gene	CDP-glucose 4,6-dehydratase
CTHE_RS01340	CTHE_RS01340, Cthe_0257, WP_003518165.1	ATCC27405 (43218/3/1)	gene	type IV pili twitching motility protein PilT
CTHE_RS13375	CTHE_RS13375, Cthe_2562, WP_003513023.1, rfbF	ATCC27405 (43218/3/1)	gene	glucose-1-phosphate cytidylyltransferase
CTHE_RS13380	CTHE_RS13380, Cthe_2563, WP_020457862.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13385	CTHE_RS13385, Cthe_2564, WP_020457863.1	ATCC27405 (43218/3/1)	gene	DinB family protein
CTHE_RS13395	CTHE_RS13395, Cthe_2566, WP_003515489.1	ATCC27405 (43218/3/1)	gene	B12-binding domain-containing radical SAM protein
CTHE_RS13400	CTHE_RS13400, Cthe_2567, WP_020457866.1	ATCC27405 (43218/3/1)	gene	cupin domain-containing protein
CTHE_RS13405	CTHE_RS13405, Cthe_2568, WP_003513019.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13410	CTHE_RS13410, Cthe_2569, WP_003515487.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13415	CTHE_RS13415, Cthe_3406, WP_003513016.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13420	CTHE_RS13420, Cthe_2570, WP_020457867.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS01345	CTHE_RS01345, Cthe_0258, WP_003512395.1	ATCC27405 (43218/3/1)	gene	LytTR family transcriptional regulator
CTHE_RS13425	CTHE_RS13425, Cthe_3407, WP_003515485.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13430	CTHE_RS13430, Cthe_2572, WP_003513014.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13435	CTHE_RS13435, Cthe_2573, WP_003513013.1	ATCC27405 (43218/3/1)	gene	ABC transporter ATP-binding protein
CTHE_RS13440	CTHE_RS13440, Cthe_2574, WP_003513012.1	ATCC27405 (43218/3/1)	gene	ABC transporter permease
CTHE_RS13445	CTHE_RS13445, Cthe_2575, WP_020457868.1	ATCC27405 (43218/3/1)	gene	ABC transporter substrate-binding protein
CTHE_RS13450	CTHE_RS13450, Cthe_2576, WP_020457869.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13455	CTHE_RS13455, Cthe_2577, WP_020457870.1	ATCC27405 (43218/3/1)	gene	inorganic triphosphatase
CTHE_RS13460	CTHE_RS13460, Cthe_2578, WP_003513008.1	ATCC27405 (43218/3/1)	gene	Ppx/GppA family phosphatase
CTHE_RS13465	CTHE_RS13465, Cthe_2579, WP_020457871.1	ATCC27405 (43218/3/1)	gene	alcohol dehydrogenase
CTHE_RS13470	CTHE_RS13470, Cthe_2580, WP_003513006.1	ATCC27405 (43218/3/1)	gene	metallophosphoesterase
CTHE_RS01350	CTHE_RS01350, Cthe_0259, WP_003512397.1	ATCC27405 (43218/3/1)	gene	rhomboid family intramembrane serine protease
CTHE_RS13475	CTHE_RS13475, Cthe_2581, WP_003513005.1, folP	ATCC27405 (43218/3/1)	gene	dihydropteroate synthase
CTHE_RS13480	CTHE_RS13480, Cthe_2582, WP_003513003.1, folB	ATCC27405 (43218/3/1)	gene	dihydroneopterin aldolase
CTHE_RS13485	CTHE_RS13485, Cthe_2583, WP_003513001.1, folK	ATCC27405 (43218/3/1)	gene	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase
CTHE_RS13490	CTHE_RS13490, Cthe_2584, WP_003512999.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13495	CTHE_RS13495, Cthe_2585, WP_003512997.1	ATCC27405 (43218/3/1)	gene	biotin--[acetyl-CoA-carboxylase] ligase
CTHE_RS13500	CTHE_RS13500, Cthe_2586, WP_003512995.1	ATCC27405 (43218/3/1)	gene	amidohydrolase
CTHE_RS13505	CTHE_RS13505, Cthe_2587, WP_020457873.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13510	CTHE_RS13510, Cthe_2588, WP_003515466.1	ATCC27405 (43218/3/1)	gene	type III pantothenate kinase
CTHE_RS13515	CTHE_RS13515, Cthe_2589, WP_003515465.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13520	CTHE_RS13520, Cthe_2590, WP_003512991.1	ATCC27405 (43218/3/1)	gene	glycoside hydrolase
CTHE_RS01355	CTHE_RS01355, Cthe_0260, WP_011837788.1	ATCC27405 (43218/3/1)	gene	peptidase S1
CTHE_RS13525	CTHE_RS13525, Cthe_2591, WP_003512990.1	ATCC27405 (43218/3/1)	gene	hypothetical protein
CTHE_RS13530	CTHE_RS13530, Cthe_2592, WP_003512989.1	ATCC27405 (43218/3/1)	gene	DUF2752 domain-containing protein
CTHE_RS13535	CTHE_RS13535, Cthe_2593, WP_003512988.1	ATCC27405 (43218/3/1)	gene	peptide chain release factor 1
CTHE_RS13540	CTHE_RS13540, Cthe_2594, WP_003512987.1	ATCC27405 (43218/3/1)	gene	zinc permease
CTHE_RS13545	CTHE_RS13545, Cthe_2595, WP_003512985.1	ATCC27405 (43218/3/1)	gene	threonylcarbamoyl-AMP synthase
CTHE_RS13550	CTHE_RS13550, Cthe_2596, WP_003512983.1	ATCC27405 (43218/3/1)	gene	low molecular weight protein arginine phosphatase
CTHE_RS13555	CTHE_RS13555, Cthe_2597, WP_003512981.1, rpiB	ATCC27405 (43218/3/1)	gene	ribose 5-phosphate isomerase B
CTHE_RS13560	2.4.2.9, CTHE_RS13560, Cthe_2598, WP_020457874.1	ATCC27405 (43218/3/1)	gene	uracil phosphoribosyltransferase
CTHE_RS13565	CTHE_RS13565, Cthe_2599, WP_003512977.1	ATCC27405 (43218/3/1)	gene	cytidine deaminase
CTHE_RS13570	CTHE_RS13570, Cthe_2600, WP_003515459.1	ATCC27405 (43218/3/1)	gene	undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
CTHE_RS01360	CTHE_RS01360, Cthe_0261, WP_003512401.1	ATCC27405 (43218/3/1)	gene	haloacid dehalogenase
CTHE_RS13575	5.1.3.14, CTHE_RS13575, Cthe_2601, WP_020457875.1	ATCC27405 (43218/3/1)	gene	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)
CTHE_RS13580	CTHE_RS13580, Cthe_2602, WP_003512970.1	ATCC27405 (43218/3/1)	gene	F0F1 ATP synthase subunit A
CTHE_RS13585	CTHE_RS13585, Cthe_2603, WP_003512969.1, atpE	ATCC27405 (43218/3/1)	gene	ATP synthase F0 subunit C
CTHE_RS13590	CTHE_RS13590, Cthe_2604, WP_003512967.1, atpF	ATCC27405 (43218/3/1)	gene	ATP synthase subunit B
CTHE_RS13595	CTHE_RS13595, Cthe_2605, WP_003512965.1	ATCC27405 (43218/3/1)	gene	F0F1 ATP synthase subunit delta
CTHE_RS13600	3.6.3.15, CTHE_RS13600, Cthe_2606, WP_020457876.1	ATCC27405 (43218/3/1)	gene	ATP synthase subunit alpha
